ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,banner_position,coord_norm
708746,916,103916,30-34,M,15,top,"(45,13)"
708749,916,103917,30-34,M,16,top,"(39,12)"
708749,916,103917,30-34,M,16,top,"(55,12)"
708815,916,103928,30-34,M,28,top,"(60,12)"
708818,916,103928,30-34,M,28,top,"(50,13)"
708889,916,103940,30-34,M,15,top,"(48,12)"
708889,916,103940,30-34,M,15,top,"(25,11)"
708889,916,103940,30-34,M,15,top,"(47,14)"
708895,916,103941,30-34,M,16,top,"(40,13)"
708953,916,103951,30-34,M,27,top,"(56,12)"
708958,916,103952,30-34,M,28,top,"(56,13)"
708958,916,103952,30-34,M,28,top,"(51,12)"
708958,916,103952,30-34,M,28,top,"(51,11)"
709059,916,103968,30-34,M,20,top,"(45,13)"
709059,916,103968,30-34,M,20,top,"(42,13)"
709059,916,103968,30-34,M,20,top,"(45,9)"
709059,916,103968,30-34,M,20,top,"(24,15)"
709059,916,103968,30-34,M,20,top,"(35,12)"
709059,916,103968,30-34,M,20,top,"(37,14)"
709059,916,103968,30-34,M,20,top,"(61,13)"
709115,916,103978,30-34,M,30,top,"(58,10)"
709179,916,103988,35-39,M,15,top,"(39,12)"
709183,916,103989,35-39,M,16,top,"(40,12)"
709183,916,103989,35-39,M,16,top,"(57,13)"
709183,916,103989,35-39,M,16,top,"(43,13)"
709183,916,103989,35-39,M,16,top,"(39,13)"
709323,916,104012,35-39,M,15,top,"(38,11)"
709323,916,104012,35-39,M,15,top,"(46,10)"
709326,916,104013,35-39,M,16,top,"(53,10)"
709326,916,104013,35-39,M,16,top,"(52,11)"
709327,916,104013,35-39,M,16,top,"(25,11)"
709327,916,104013,35-39,M,16,top,"(59,10)"
709544,916,104049,35-39,M,29,top,"(46,14)"
709544,916,104049,35-39,M,29,top,"(47,10)"
709614,916,104061,40-44,M,16,top,"(61,12)"
709614,916,104061,40-44,M,16,top,"(36,10)"
709614,916,104061,40-44,M,16,top,"(37,13)"
709614,916,104061,40-44,M,16,top,"(45,10)"
709756,916,104085,40-44,M,16,top,"(64,11)"
709756,916,104085,40-44,M,16,top,"(56,11)"
709901,916,104109,40-44,M,16,top,"(50,14)"
709901,916,104109,40-44,M,16,top,"(56,10)"
709901,916,104109,40-44,M,16,top,"(58,12)"
709901,916,104109,40-44,M,16,top,"(63,10)"
709901,916,104109,40-44,M,16,top,"(35,16)"
709901,916,104109,40-44,M,16,top,"(47,12)"
709901,916,104109,40-44,M,16,top,"(57,14)"
710045,916,104133,45-49,M,16,top,"(62,17)"
710045,916,104133,45-49,M,16,top,"(52,15)"
710045,916,104133,45-49,M,16,top,"(50,14)"
710045,916,104133,45-49,M,16,top,"(42,8)"
710045,916,104133,45-49,M,16,top,"(55,12)"
710045,916,104133,45-49,M,16,top,"(47,16)"
710045,916,104133,45-49,M,16,top,"(31,13)"
710045,916,104133,45-49,M,16,top,"(39,10)"
710045,916,104133,45-49,M,16,top,"(54,14)"
710045,916,104133,45-49,M,16,top,"(63,12)"
710045,916,104133,45-49,M,16,top,"(45,15)"
710045,916,104133,45-49,M,16,top,"(54,13)"
710088,916,104140,45-49,M,24,top,"(30,14)"
